Nome do cliente,Nome do item,Descricao,condicao,id do produto,escolha de doacao,aprovacao,pontos,justificacao,Creditos,Data da Transacao
Matthew,Laptop,Eletronico,horrivel,DjB8 - 269,1,Reprovado,12,1,717,2023-09-18
Gwendolyn,Chaveiro,Acessorio,usado,GNN6 - 167,1,Aprovado,25,0,698,2023-11-08
Matthew,Garrafa,Utensilio,novo,EZY7 - 200,0,Reprovado,76,0,839,2022-12-19
Matthew,Chaveiro,Acessorio,horrivel,hZy6 - 239,0,Aprovado,31,0,578,2023-10-26
Kristen,Mochila,Vestuario,saudavel,iOB5 - 616,1,Aprovado,58,1,714,2023-07-06
Kristen,Mochila,Vestuario,horrivel,dFp9 - 638,0,Reprovado,7,1,578,2023-08-03
Jessica,Telefone,Eletronico,saudavel,uVP5 - 698,1,Reprovado,99,1,572,2023-01-16
Matthew,Chaveiro,Acessorio,saudavel,YJD0 - 181,1,Reprovado,79,0,855,2023-10-14
Gwendolyn,Chaveiro,Acessorio,bom estado,Bdg9 - 342,1,Reprovado,3,0,856,2023-09-11
Kristen,Chaveiro,Acessorio,usado,DMA4 - 128,1,Aprovado,24,0,664,2023-02-17
Vicki,Garrafa,Utensilio,usado,pIB5 - 658,1,Aprovado,51,1,664,2023-04-22
Alicia,Camisa,Vestuario,saudavel,RXi2 - 392,1,Reprovado,93,1,664,2023-01-22
Christopher,Telefone,Eletronico,horrivel,hXv0 - 256,0,Reprovado,35,0,756,2023-10-24
William,Caneta,Utensilio,novo,Pom8 - 205,0,Reprovado,28,1,509,2023-04-22
Mark,Telefone,Eletronico,horrivel,bJM5 - 538,1,Reprovado,21,0,889,2023-01-31
Karen,Caneca,Utensilio,novo,MhB4 - 226,0,Reprovado,68,1,740,2022-12-13
Mark,Livro,Livro,usado,fYp5 - 337,0,Reprovado,70,0,919,2022-12-13
Kevin,Telefone,Eletronico,usado,KMr7 - 479,0,Reprovado,98,1,919,2023-07-31
Leonard,Caneca,Utensilio,novo,zhY1 - 557,0,Aprovado,62,0,636,2023-05-19
Karen,Telefone,Eletronico,saudavel,CWO2 - 975,1,Aprovado,46,1,774,2023-08-03
Kevin,Camisa,Vestuario,saudavel,Toy0 - 942,0,Reprovado,80,1,939,2023-02-27
James,Caneta,Utensilio,bom estado,NIH2 - 799,0,Aprovado,40,0,997,2023-09-23
Barbara,Garrafa,Utensilio,bom estado,GZq8 - 763,1,Aprovado,51,0,939,2023-08-28
Eddie,Relogio,Acessorio,bom estado,FKT8 - 740,0,Reprovado,45,0,939,2023-09-23
Chelsea,Livro,Livro,saudavel,wWh4 - 630,1,Aprovado,58,0,568,2023-10-11
Karen,Telefone,Eletronico,novo,VmJ8 - 723,1,Aprovado,70,0,609,2023-08-03
Jacob,Telefone,Eletronico,bom estado,bTT7 - 503,0,Reprovado,37,0,651,2023-08-03
Eddie,Mochila,Vestuario,usado,Rme9 - 132,1,Reprovado,6,0,774,2023-08-31
Tanya,Mochila,Vestuario,usado,EPY2 - 086,1,Aprovado,51,0,582,2023-05-19
Stephen,Relogio,Acessorio,usado,wTK5 - 028,1,Aprovado,8,0,636,2023-07-02
Chelsea,Caneca,Utensilio,novo,ubI9 - 401,0,Reprovado,55,0,740,2022-12-16
Jason,Mochila,Vestuario,bom estado,zDF8 - 141,0,Aprovado,3,0,636,2023-08-28
Mary,Caneta,Utensilio,bom estado,SIl6 - 619,1,Reprovado,59,0,699,2023-10-11
Jacob,Laptop,Eletronico,usado,AXJ8 - 601,0,Reprovado,68,0,836,2023-10-11
Jason,Relogio,Acessorio,horrivel,HiS5 - 087,0,Reprovado,4,1,850,2023-09-28
David,Caneca,Utensilio,bom estado,LbM2 - 263,0,Reprovado,57,1,927,2023-10-23
Cassandra,Livro,Livro,saudavel,yNQ8 - 828,1,Aprovado,59,0,670,2023-04-05
Antonio,Camisa,Vestuario,usado,zoS1 - 452,1,Aprovado,39,1,880,2023-05-16
Sandra,Telefone,Eletronico,bom estado,LEp7 - 639,0,Reprovado,36,0,698,2023-10-06
Chelsea,Caneca,Utensilio,saudavel,Ygc4 - 962,1,Reprovado,62,0,850,2023-09-15
John,Caneta,Utensilio,saudavel,pzO1 - 061,1,Reprovado,39,0,815,2023-09-15
Marc,Caneta,Utensilio,usado,OUJ5 - 311,1,Aprovado,12,1,979,2022-12-25
David,Relogio,Acessorio,horrivel,NJC7 - 124,1,Aprovado,28,0,880,2023-10-24
Billy,Caneta,Utensilio,bom estado,NhH0 - 472,0,Reprovado,55,0,852,2023-10-23
Tony,Caneca,Utensilio,bom estado,Yyn6 - 938,0,Aprovado,71,1,522,2023-05-31
Marisa,Laptop,Eletronico,bom estado,Ija7 - 240,1,Reprovado,80,1,806,2023-09-15
Tony,Livro,Livro,novo,LIy0 - 187,1,Aprovado,16,1,772,2023-09-28
Marisa,Caneca,Utensilio,horrivel,eYU4 - 759,0,Aprovado,91,0,852,2023-04-05
Antonio,Caneta,Utensilio,horrivel,wRE2 - 130,1,Reprovado,74,0,852,2023-11-05
Eugene,Caneta,Utensilio,horrivel,gMv5 - 086,1,Aprovado,88,0,834,2023-04-05
Marisa,Mochila,Vestuario,bom estado,LmT1 - 445,1,Reprovado,40,1,527,2022-12-25
Billy,Mochila,Vestuario,usado,qQT5 - 391,1,Reprovado,53,0,955,2023-05-31
Tony,Mochila,Vestuario,horrivel,gJW8 - 096,1,Reprovado,93,0,979,2023-03-02
Kyle,Caneta,Utensilio,novo,jOx7 - 279,0,Aprovado,45,0,979,2023-06-19
John,Chaveiro,Acessorio,novo,VrK7 - 844,1,Reprovado,0,0,524,2023-09-21
Stephen,Camisa,Vestuario,horrivel,BUH3 - 924,0,Aprovado,68,0,962,2023-03-28
Daniel,Garrafa,Utensilio,bom estado,laX1 - 487,0,Reprovado,28,1,665,2023-09-21
Steven,Telefone,Eletronico,bom estado,cIb7 - 744,0,Aprovado,6,1,962,2023-08-29
Kimberly,Livro,Livro,bom estado,Fmm8 - 919,1,Aprovado,38,0,665,2023-09-21
Gabriel,Laptop,Eletronico,saudavel,OtO7 - 877,1,Aprovado,33,1,984,2023-09-21
Allison,Telefone,Eletronico,novo,oyG1 - 752,0,Aprovado,51,1,540,2023-08-17
Gabriel,Livro,Livro,bom estado,Nsw2 - 928,1,Aprovado,7,1,786,2023-04-01
Vincent,Caneta,Utensilio,usado,BOw0 - 871,1,Aprovado,24,1,771,2023-04-21
Emily,Relogio,Acessorio,bom estado,Fac4 - 829,0,Reprovado,17,1,829,2023-10-11
Sarah,Laptop,Eletronico,bom estado,VVe1 - 085,0,Reprovado,14,1,984,2023-02-28
Katherine,Caneta,Utensilio,novo,QDw8 - 904,0,Reprovado,77,1,540,2023-09-02
Steven,Garrafa,Utensilio,bom estado,TWC1 - 869,1,Reprovado,46,1,934,2023-09-21
Michelle,Camisa,Vestuario,saudavel,QuF4 - 475,1,Reprovado,89,0,639,2023-10-11
Vincent,Caneta,Utensilio,saudavel,JwO3 - 749,1,Aprovado,70,1,962,2023-08-29
Kimberly,Livro,Livro,novo,mCk9 - 948,0,Aprovado,8,1,771,2023-02-28
Michelle,Mochila,Vestuario,novo,jok1 - 865,1,Aprovado,81,1,665,2023-09-02
Kimberly,Relogio,Acessorio,bom estado,vjC9 - 894,0,Reprovado,48,1,634,2023-10-11
Stephen,Mochila,Vestuario,novo,ohQ1 - 762,0,Reprovado,12,1,761,2023-03-28
Michelle,Chaveiro,Acessorio,novo,qll2 - 904,0,Aprovado,73,0,934,2023-05-15
Kimberly,Caneca,Utensilio,saudavel,FPu1 - 362,1,Reprovado,88,1,962,2023-08-17
John,Relogio,Acessorio,horrivel,YSQ4 - 137,0,Reprovado,26,1,984,2023-01-02
Steven,Chaveiro,Acessorio,bom estado,aYy1 - 202,0,Reprovado,74,1,540,2023-05-15
Katherine,Camisa,Vestuario,bom estado,sBc7 - 221,0,Aprovado,91,0,639,2023-01-02
Emily,Livro,Livro,horrivel,Ypo4 - 810,0,Aprovado,10,1,746,2023-09-21
Katherine,Garrafa,Utensilio,bom estado,uDe8 - 349,0,Aprovado,9,1,783,2023-06-07
Tiffany,Chaveiro,Acessorio,bom estado,GQa1 - 856,1,Reprovado,48,1,998,2023-06-11
Michelle,Chaveiro,Acessorio,bom estado,GGA5 - 341,0,Reprovado,78,0,705,2023-04-01
Kimberly,Relogio,Acessorio,usado,uvi7 - 500,1,Aprovado,26,1,984,2023-09-02
Daniel,Caneta,Utensilio,horrivel,FhD7 - 601,0,Reprovado,8,0,984,2023-04-01
Troy,Caneca,Utensilio,bom estado,BTT2 - 000,1,Aprovado,55,0,984,2023-04-03
Alison,Relogio,Acessorio,usado,gZo8 - 215,1,Reprovado,89,0,665,2023-02-28
Steven,Mochila,Vestuario,horrivel,bbn6 - 372,0,Aprovado,94,0,934,2023-10-11
Katherine,Camisa,Vestuario,usado,zIs4 - 051,1,Aprovado,61,1,829,2023-05-15
Brian,Laptop,Eletronico,bom estado,qOU0 - 867,0,Reprovado,35,0,634,2023-09-02
Steven,Caneta,Utensilio,usado,TSH2 - 141,0,Aprovado,9,0,783,2023-09-21
Alison,Laptop,Eletronico,usado,Wtq6 - 351,0,Reprovado,6,1,934,2023-09-21
Emily,Caneca,Utensilio,saudavel,pqN2 - 783,1,Aprovado,59,0,786,2023-04-03
Emily,Relogio,Acessorio,novo,ukq0 - 651,1,Aprovado,31,1,568,2023-09-21
Brian,Livro,Livro,usado,ylB6 - 089,0,Reprovado,23,1,962,2023-02-28
Stephen,Caneta,Utensilio,bom estado,GKz8 - 049,0,Aprovado,92,0,540,2023-01-02
Daniel,Caneca,Utensilio,horrivel,uES4 - 967,1,Reprovado,73,0,640,2023-02-28
Gabriel,Telefone,Eletronico,saudavel,KDA9 - 040,1,Aprovado,30,0,540,2023-09-02
Joshua,Mochila,Vestuario,bom estado,mGO4 - 593,0,Reprovado,45,0,761,2023-10-11
Michelle,Caneta,Utensilio,bom estado,DWL9 - 450,1,Aprovado,42,1,634,2023-08-04
Gabriel,Camisa,Vestuario,novo,XgX9 - 002,0,Reprovado,36,0,692,2023-06-07
Sarah,Camisa,Vestuario,usado,dkN2 - 413,0,Reprovado,75,1,746,2023-04-01
Tiffany,Chaveiro,Acessorio,bom estado,lZK2 - 302,0,Reprovado,29,0,761,2023-01-02
Allison,Laptop,Eletronico,novo,vPd6 - 792,1,Reprovado,65,0,786,2023-04-01
Michelle,Camisa,Vestuario,usado,TUV5 - 194,1,Aprovado,46,0,568,2023-09-21
Alison,Laptop,Eletronico,horrivel,qqo9 - 918,1,Reprovado,23,0,962,2023-04-08
Alison,Caneca,Utensilio,horrivel,zIu4 - 671,0,Aprovado,19,1,761,2023-02-28
Michelle,Livro,Livro,bom estado,Uka7 - 946,1,Aprovado,40,0,634,2023-04-21
Stephen,Caneca,Utensilio,horrivel,efQ8 - 950,1,Reprovado,92,0,786,2023-10-02
Thomas,Laptop,Eletronico,horrivel,pxP6 - 882,0,Reprovado,14,1,634,2023-01-02
Kimberly,Caneta,Utensilio,usado,alG2 - 746,0,Aprovado,39,0,640,2023-03-28
Allison,Relogio,Acessorio,bom estado,jDQ0 - 052,0,Reprovado,87,1,934,2023-04-08
Brian,Caneta,Utensilio,novo,IQh9 - 897,1,Reprovado,87,0,524,2023-10-02
Vincent,Caneca,Utensilio,horrivel,gOa3 - 695,0,Reprovado,25,1,934,2023-10-02
Allison,Camisa,Vestuario,novo,sNQ3 - 894,0,Reprovado,87,0,705,2023-08-17
Steven,Caneta,Utensilio,horrivel,keU6 - 257,1,Aprovado,29,1,568,2023-08-04
Sarah,Relogio,Acessorio,novo,xMv0 - 332,0,Reprovado,40,0,783,2023-10-11
Emily,Relogio,Acessorio,novo,Yxe9 - 588,0,Reprovado,29,1,984,2023-09-21
Corey,Mochila,Vestuario,novo,QRj7 - 049,1,Aprovado,41,0,771,2023-09-21
Kimberly,Laptop,Eletronico,horrivel,xMv2 - 654,1,Aprovado,26,1,640,2023-04-21
Thomas,Garrafa,Utensilio,usado,tjb3 - 430,0,Reprovado,39,1,829,2023-05-15
Thomas,Garrafa,Utensilio,saudavel,diR7 - 096,1,Aprovado,95,0,639,2023-03-28
Michelle,Garrafa,Utensilio,horrivel,BsX1 - 722,1,Reprovado,74,0,962,2023-06-11
Joshua,Relogio,Acessorio,horrivel,ljO0 - 664,0,Reprovado,1,0,639,2023-09-21
Sarah,Mochila,Vestuario,saudavel,Apw1 - 414,1,Reprovado,23,1,540,2023-10-01
Sarah,Mochila,Vestuario,bom estado,iPa3 - 453,1,Reprovado,75,1,783,2023-06-11
Allison,Telefone,Eletronico,bom estado,Hao4 - 038,0,Aprovado,12,1,692,2023-04-03
Michelle,Camisa,Vestuario,bom estado,lYy0 - 363,1,Aprovado,94,0,998,2023-11-14
Tiffany,Relogio,Acessorio,bom estado,FfL2 - 476,0,Reprovado,60,0,665,2023-08-04
Michelle,Relogio,Acessorio,saudavel,AnR8 - 961,0,Reprovado,29,0,705,2023-10-02
Gabriel,Laptop,Eletronico,novo,qGX6 - 201,0,Reprovado,51,0,746,2023-10-11
Brian,Garrafa,Utensilio,bom estado,GVv0 - 855,0,Aprovado,80,0,524,2023-10-11
John,Mochila,Vestuario,usado,QKx1 - 058,1,Reprovado,84,1,934,2023-04-08
Steven,Relogio,Acessorio,novo,EJL7 - 937,0,Aprovado,43,1,761,2023-08-04
John,Telefone,Eletronico,saudavel,IvR0 - 325,0,Reprovado,70,0,984,2023-10-01
Kimberly,Chaveiro,Acessorio,usado,sCk7 - 393,1,Reprovado,73,0,761,2023-03-28
Troy,Garrafa,Utensilio,bom estado,axQ7 - 129,1,Reprovado,70,0,786,2023-09-21
Troy,Relogio,Acessorio,horrivel,Cxl8 - 453,1,Reprovado,22,1,705,2023-10-01
Daniel,Camisa,Vestuario,saudavel,ptH6 - 003,1,Aprovado,14,0,998,2023-10-01
Daniel,Telefone,Eletronico,usado,ZlH5 - 831,0,Reprovado,61,0,771,2023-09-02
Gabriel,Laptop,Eletronico,usado,TPT0 - 297,1,Reprovado,29,1,761,2023-10-01
Thomas,Telefone,Eletronico,bom estado,WxT9 - 971,0,Reprovado,67,0,639,2023-08-17
Michelle,Chaveiro,Acessorio,bom estado,Gze9 - 980,1,Reprovado,17,1,540,2023-09-21
Steven,Relogio,Acessorio,saudavel,ulV4 - 401,0,Reprovado,68,1,692,2023-06-07
Emily,Caneca,Utensilio,horrivel,neu3 - 905,1,Reprovado,56,1,761,2023-02-28
Michelle,Caneta,Utensilio,saudavel,QbF0 - 898,0,Aprovado,48,0,829,2023-08-29
Emily,Caneta,Utensilio,horrivel,NUA2 - 194,0,Aprovado,22,0,984,2023-10-01
Emily,Mochila,Vestuario,usado,LPp3 - 139,0,Reprovado,40,1,761,2023-09-21
Stephen,Mochila,Vestuario,bom estado,BbW4 - 343,0,Reprovado,23,1,746,2023-08-04
Vincent,Caneta,Utensilio,horrivel,sOL2 - 385,1,Aprovado,46,1,665,2023-10-11
Michelle,Chaveiro,Acessorio,novo,KJZ9 - 178,1,Aprovado,22,0,524,2023-10-11
Emily,Garrafa,Utensilio,novo,AwY8 - 249,0,Aprovado,88,0,665,2023-01-02
Emily,Laptop,Eletronico,novo,FOY9 - 137,1,Reprovado,4,1,705,2023-09-02
Joshua,Caneca,Utensilio,novo,kmg7 - 658,1,Aprovado,82,1,568,2023-01-02
Troy,Camisa,Vestuario,saudavel,JWv2 - 465,0,Reprovado,51,0,634,2023-10-01
Corey,Mochila,Vestuario,novo,kCE2 - 191,0,Aprovado,81,0,984,2023-06-07
Kimberly,Caneta,Utensilio,saudavel,yrj2 - 598,0,Aprovado,54,1,639,2023-08-17
Daniel,Camisa,Vestuario,horrivel,rsk2 - 641,1,Aprovado,88,1,692,2023-05-15
Joshua,Caneta,Utensilio,usado,OJZ5 - 955,0,Reprovado,7,0,524,2023-03-28
Katherine,Mochila,Vestuario,novo,kEB5 - 750,1,Aprovado,76,0,934,2023-04-08
John,Relogio,Acessorio,usado,pgx7 - 509,0,Aprovado,71,0,786,2023-08-17
Tiffany,Telefone,Eletronico,horrivel,Dwf2 - 630,0,Reprovado,92,0,524,2023-09-02
Vincent,Caneca,Utensilio,usado,TUO4 - 574,0,Reprovado,85,1,998,2023-08-04
Brian,Chaveiro,Acessorio,horrivel,VpY5 - 887,1,Reprovado,61,0,998,2023-09-02
Steven,Garrafa,Utensilio,novo,VDY8 - 736,0,Reprovado,9,0,692,2023-05-15
Michelle,Mochila,Vestuario,saudavel,Qdx4 - 522,1,Aprovado,75,0,786,2023-04-03
Daniel,Caneta,Utensilio,usado,BJc7 - 177,1,Aprovado,11,0,524,2023-04-08
Katherine,Camisa,Vestuario,novo,TxY3 - 931,1,Reprovado,88,0,705,2023-05-15
Emily,Chaveiro,Acessorio,bom estado,kNd5 - 292,0,Reprovado,82,1,761,2023-09-02
Katherine,Chaveiro,Acessorio,bom estado,TJJ7 - 358,0,Reprovado,63,0,705,2023-01-02
Alison,Chaveiro,Acessorio,usado,Mnd8 - 425,0,Aprovado,37,1,771,2023-09-02
Alison,Telefone,Eletronico,bom estado,rjX6 - 827,0,Aprovado,88,1,568,2023-04-01
Brian,Garrafa,Utensilio,saudavel,rBa6 - 283,0,Aprovado,89,0,934,2023-02-28
Stephen,Laptop,Eletronico,horrivel,lFO6 - 095,1,Reprovado,43,1,783,2023-10-02
Michelle,Mochila,Vestuario,bom estado,iGx8 - 095,1,Aprovado,17,1,771,2023-01-02
Troy,Camisa,Vestuario,bom estado,uSS8 - 510,1,Aprovado,41,0,640,2023-09-02
Emily,Mochila,Vestuario,usado,iKA0 - 983,1,Reprovado,27,0,665,2023-03-28
Steven,Camisa,Vestuario,usado,UYs9 - 470,1,Reprovado,9,0,746,2023-06-07
Emily,Laptop,Eletronico,bom estado,PmB5 - 681,0,Reprovado,63,1,761,2023-04-01
Thomas,Caneta,Utensilio,horrivel,Xsr3 - 592,0,Aprovado,77,0,984,2023-09-02
Emily,Relogio,Acessorio,horrivel,pKj4 - 715,1,Reprovado,91,0,984,2023-03-28
Emily,Livro,Livro,novo,jJa2 - 251,0,Reprovado,100,1,934,2023-04-08
Emily,Laptop,Eletronico,bom estado,Lgq0 - 690,1,Reprovado,3,1,829,2023-10-02
Vincent,Livro,Livro,usado,yuM9 - 259,1,Reprovado,86,0,524,2023-10-02
Daniel,Caneca,Utensilio,saudavel,nuz8 - 036,0,Reprovado,23,1,634,2023-03-28
Emily,Mochila,Vestuario,bom estado,gXm1 - 403,0,Reprovado,85,0,634,2023-01-02
Tiffany,Telefone,Eletronico,saudavel,qmL0 - 270,0,Reprovado,18,0,639,2023-06-11
Brian,Caneca,Utensilio,horrivel,dBJ1 - 833,0,Reprovado,10,1,934,2023-09-02
Allison,Telefone,Eletronico,horrivel,Baj4 - 737,0,Aprovado,2,1,665,2023-09-21
Stephen,Camisa,Vestuario,horrivel,afJ1 - 395,0,Aprovado,98,1,634,2023-10-02
Troy,Mochila,Vestuario,saudavel,sIr1 - 729,0,Reprovado,29,0,786,2023-10-01
Thomas,Caneca,Utensilio,horrivel,rPA0 - 440,1,Aprovado,70,1,761,2023-02-28
Katherine,Laptop,Eletronico,usado,wtj5 - 358,0,Reprovado,39,0,665,2023-08-29
Michelle,Caneca,Utensilio,novo,IXS0 - 473,1,Aprovado,88,1,934,2023-04-03
Vincent,Laptop,Eletronico,bom estado,qgN7 - 124,1,Aprovado,4,1,786,2023-10-11
Brian,Telefone,Eletronico,bom estado,RHv2 - 900,0,Reprovado,0,0,761,2023-10-02
Corey,Livro,Livro,usado,uAm9 - 697,1,Reprovado,4,1,771,2023-08-29
Emily,Mochila,Vestuario,bom estado,uvG9 - 381,1,Reprovado,24,1,665,2023-04-21
Sarah,Garrafa,Utensilio,novo,kNn5 - 214,0,Reprovado,53,1,786,2023-10-11
Kimberly,Caneta,Utensilio,novo,Wsf4 - 730,0,Reprovado,22,0,524,2023-04-21
Thomas,Relogio,Acessorio,usado,uLQ7 - 360,1,Reprovado,32,1,640,2023-04-14
Kimberly,Caneca,Utensilio,usado,INY6 - 613,0,Reprovado,54,1,761,2023-08-17
Allison,Laptop,Eletronico,saudavel,pLJ4 - 453,0,Reprovado,26,0,640,2023-05-15
Sarah,Telefone,Eletronico,novo,UTM3 - 853,1,Aprovado,48,1,934,2023-09-02
Emily,Caneta,Utensilio,saudavel,tOM0 - 864,0,Aprovado,43,0,640,2023-09-21
Gabriel,Caneca,Utensilio,usado,YHP0 - 831,1,Reprovado,65,0,746,2023-08-04
Joshua,Chaveiro,Acessorio,bom estado,Gur8 - 786,1,Aprovado,7,0,692,2023-04-21
Michelle,Relogio,Acessorio,bom estado,Bok0 - 632,0,Aprovado,36,0,761,2023-10-02
Tiffany,Laptop,Eletronico,horrivel,egS2 - 070,0,Reprovado,17,1,962,2023-09-02
Alison,Mochila,Vestuario,bom estado,sJS8 - 041,0,Aprovado,85,0,665,2023-10-11
Joshua,Mochila,Vestuario,saudavel,AiR5 - 884,0,Aprovado,78,0,771,2023-11-14
John,Garrafa,Utensilio,bom estado,msG5 - 447,0,Reprovado,36,0,783,2023-04-21
Daniel,Livro,Livro,bom estado,uon4 - 443,1,Reprovado,86,1,568,2023-04-01
Michelle,Mochila,Vestuario,usado,VLA3 - 198,1,Aprovado,5,1,783,2023-03-28
Gabriel,Chaveiro,Acessorio,novo,PMr2 - 940,0,Aprovado,92,1,665,2023-04-03
Troy,Mochila,Vestuario,horrivel,zJc4 - 004,1,Aprovado,81,1,665,2023-04-03
Michelle,Telefone,Eletronico,bom estado,vIJ2 - 698,0,Aprovado,68,1,786,2023-08-29
Gabriel,Telefone,Eletronico,horrivel,yWE0 - 604,1,Aprovado,84,1,639,2023-10-02
Corey,Relogio,Acessorio,usado,IaZ1 - 084,1,Reprovado,0,0,984,2023-04-03
Sarah,Chaveiro,Acessorio,saudavel,gPD0 - 820,1,Aprovado,97,0,934,2023-01-02
Vincent,Camisa,Vestuario,bom estado,iYX0 - 092,1,Reprovado,48,0,524,2023-10-01
Michelle,Garrafa,Utensilio,horrivel,LmH4 - 474,1,Reprovado,73,1,962,2023-10-01
Sarah,Caneta,Utensilio,horrivel,LjI5 - 404,0,Aprovado,89,1,640,2023-11-14
Stephen,Garrafa,Utensilio,horrivel,TnC0 - 023,0,Aprovado,91,0,639,2023-08-29
Joshua,Garrafa,Utensilio,bom estado,hPe0 - 287,1,Reprovado,29,1,934,2023-10-01
Brian,Chaveiro,Acessorio,usado,GMf1 - 503,0,Reprovado,90,0,640,2023-04-14
John,Mochila,Vestuario,usado,YtS0 - 907,0,Reprovado,29,0,568,2023-06-07
Michelle,Chaveiro,Acessorio,novo,Dcb7 - 076,0,Reprovado,0,1,984,2023-03-28
Vincent,Relogio,Acessorio,usado,MNf3 - 192,1,Aprovado,40,1,998,2023-11-14
Stephen,Garrafa,Utensilio,saudavel,sre2 - 352,1,Aprovado,88,1,705,2023-09-21
Joshua,Garrafa,Utensilio,novo,Nxq8 - 276,1,Reprovado,54,0,665,2023-06-07
Joshua,Garrafa,Utensilio,novo,bHk9 - 904,1,Reprovado,62,0,761,2023-04-01
Sarah,Caneca,Utensilio,saudavel,kyk0 - 650,0,Aprovado,46,1,746,2023-09-21
Joshua,Telefone,Eletronico,horrivel,ujh2 - 314,1,Aprovado,2,0,984,2023-04-14
Katherine,Caneca,Utensilio,saudavel,pyI3 - 643,0,Reprovado,31,0,540,2023-06-07
Corey,Telefone,Eletronico,saudavel,Ybu8 - 396,0,Reprovado,30,1,771,2023-05-15
Vincent,Camisa,Vestuario,bom estado,eMI4 - 020,0,Aprovado,57,1,761,2023-10-02
Gabriel,Caneca,Utensilio,bom estado,Gou0 - 778,1,Aprovado,13,1,639,2023-10-11
Emily,Mochila,Vestuario,novo,CYj6 - 838,1,Aprovado,32,1,665,2023-08-29
Michelle,Telefone,Eletronico,horrivel,kTB4 - 670,1,Reprovado,21,0,746,2023-03-28
Thomas,Mochila,Vestuario,usado,kgC5 - 961,0,Reprovado,82,0,634,2023-04-14
Daniel,Telefone,Eletronico,horrivel,gKA1 - 786,1,Aprovado,79,0,640,2023-11-14
Katherine,Livro,Livro,saudavel,ANI3 - 645,0,Aprovado,74,0,746,2023-01-02
Kimberly,Caneta,Utensilio,bom estado,KST9 - 747,1,Reprovado,93,1,524,2023-09-02
John,Caneca,Utensilio,horrivel,shK3 - 303,1,Reprovado,25,0,998,2023-11-14
Troy,Laptop,Eletronico,novo,nBv5 - 191,1,Aprovado,23,1,783,2023-11-14
Emily,Camisa,Vestuario,usado,WHF1 - 003,0,Reprovado,2,0,568,2023-10-01
Stephen,Laptop,Eletronico,novo,emR1 - 772,1,Aprovado,12,0,771,2023-08-04
Steven,Livro,Livro,bom estado,BOS8 - 956,1,Reprovado,39,0,783,2023-02-28
Corey,Livro,Livro,usado,Ipf1 - 041,1,Reprovado,59,1,568,2023-08-17
Kimberly,Caneca,Utensilio,saudavel,CLh4 - 530,0,Reprovado,50,1,962,2023-04-01
Daniel,Livro,Livro,horrivel,eFs1 - 038,0,Aprovado,33,1,761,2023-08-29
